name,lo,la,mag
201606261117,73.3388,39.4793,6.4
201606250640,126.1078,6.5759,5.2
201606242129,-69.3417,-25.7705,5.5
201606232105,123.3704,23.694,5.8
201606231455,-177.8394,-30.1541,5.3
201606231135,70.6894,36.4695,5.3
201606230744,-176.9757,-27.8795,5.2
201606230305,-42.912,-60.6729,5.5
201606221059,127.0344,0.4996,5.2
201606201642,139.8705,-3.4668,5.0
201606200350,168.7595,-20.2072,6.0
201606192313,-11.5699,-5.6474,5.4
201606191820,121.3782,20.1726,5.6
201606190500,126.1072,1.0227,5.2
201606190116,57.1839,-31.8832,5.3
201606181729,-67.1526,-24.1467,5.7
201606180112,-163.5088,53.5727,5.0
201606172126,166.37,-11.6148,5.7
201606170839,128.3312,-7.4889,5.1
201606162142,130.4299,28.3114,5.1
201606161346,168.9219,-20.5822,5.7
201606161031,168.8866,-20.546,5.3
201606160521,140.9353,41.9836,5.2
201606160048,-178.6089,-20.7811,5.1
201606150658,166.5804,-62.3661,5.7
201606140345,-87.0309,12.7973,5.2
201606131741,139.44,-50.906,5.0
201606130059,-104.8111,-4.4284,5.7
201606121711,147.9433,43.887,5.3
201606112254,139.9693,35.9783,5.0
201606091954,121.0986,16.5742,5.4
201606090413,116.2669,-11.2487,6.1
201606071915,126.3712,1.2789,6.3
201606060235,-177.8359,-30.0235,6.1
201606051038,125.339,-2.9843,5.0
201606042159,168.2801,-18.2531,5.2
201606031823,169.3511,54.1558,5.3
201606031340,148.4678,-49.2427,5.2
201606020223,-105.8338,18.0217,5.8
201606012256,100.6654,-2.0967,6.6
201606010830,-105.7719,17.9129,5.4
201605312051,-158.4417,55.3621,5.7
201605311004,154.3641,47.5484,5.9
201605310523,122.5458,25.5615,6.4
201605302227,129.3992,-3.8992,5.1
201605291820,128.9297,-7.2692,5.1
201605290558,-40.9912,10.6119,5.0
201605282354,3.5166,36.4313,5.4
201605280946,-26.9353,-56.2409,7.2
201605271503,152.536,-4.8993,5.2
201605271000,-74.9983,-8.4546,5.0
201605260102,-85.7235,11.4976,5.2
201605250836,26.2106,34.9521,5.3
201605231920,-93.8984,16.7065,5.4
201605230343,-67.3269,-22.0311,5.0
201605210606,140.0808,30.9561,5.5
201605201814,129.8841,-25.5655,6.0
201605200701,-128.4588,43.7904,5.0
201605192025,-66.4687,-27.9805,5.1
201605180757,-79.7899,0.4261,6.7
201605172108,107.5385,-10.0709,5.2
201605170456,151.8567,-5.2288,5.1
201605170147,141.7649,24.3271,5.3
201605160639,-103.1118,8.5038,5.5
201605151204,-167.9395,52.5113,5.4
201605111311,-71.7475,-30.663,5.4
201605110115,95.0268,32.0221,5.2
201605101720,-32.8819,57.5809,5.0
201605100944,118.8669,-16.3853,5.0
201605100402,148.4027,43.8508,5.0
201605090133,165.344,-62.5795,5.5
201605080734,-97.8416,16.4107,5.8
201605060204,104.2658,-6.471,5.2
201605041436,166.9341,-14.855,5.7
201605021217,-107.1631,-6.0785,5.6
201605020026,177.3698,-37.3383,5.1
201605011856,169.9387,-20.7528,5.1
201604302030,167.4716,-16.3275,5.2
201604300438,167.1403,-16.3135,5.0
201604290133,-103.7363,10.2752,6.6
201604281933,167.3786,-16.0429,7.0
201604280117,155.0123,-6.0772,5.4
201604271819,121.3914,23.3187,5.0
201604262158,-80.7309,-0.1943,5.4
201604260419,140.1922,-4.5105,5.6
201604252147,-26.7766,-55.5896,5.2
201604251813,121.1261,21.2173,5.3
201604240837,-27.027,-59.3074,5.5
201604240432,102.5747,-7.0247,5.2
201604232311,-172.393,-17.2781,5.3
201604211853,166.3369,-14.5203,5.1
201604211428,142.7316,-3.7495,5.3
201604191717,126.591,8.0082,5.0
201604171933,-25.3164,-57.9827,5.2
201604161520,-104.3329,10.153,5.0
201604131355,94.8654,23.0944,6.9
201604112334,144.989,-63.3625,5.0
201604112010,176.6748,51.8545,5.6
201604110929,-76.6152,7.0249,5.1
201604110352,166.5171,-14.1727,5.0
201604101934,179.5394,51.1243,5.6
201604101546,-91.2735,-41.0662,5.2
201604101028,71.1311,36.4725,6.6
201604100711,-96.2563,16.0557,5.5
201604100214,102.211,-4.1489,5.7
201604081448,146.7165,16.8012,5.1
201604080717,-29.5699,-59.8747,5.3
201604071222,-62.5876,10.5418,5.2
201604070332,166.5943,-13.9805,6.7
201604040822,166.8512,-14.3498,5.0
201604031818,166.7621,-14.2684,5.2
201604031448,166.7698,-14.1697,5.0
201604030823,166.8551,-14.3235,6.9
201604030046,25.73,34.19,5.1
201604021301,166.4263,-15.8662,5.1
201604020550,-157.9322,57.008,6.2
201603311938,96.2001,3.1211,5.1
201603311230,143.8542,12.0795,5.2
201603301338,129.3962,-4.1947,5.4
201603292053,60.3668,6.5905,5.0
201603290105,20.1644,37.5169,5.4
201603261618,-173.715,-14.6581,5.3
201603260324,68.0253,-2.6503,5.6
201603250625,126.7883,-0.9887,5.0
201603241505,167.3273,-14.8899,5.1
201603240540,-26.2637,-59.6693,5.0
201603221847,125.3816,1.735,5.0
201603211448,66.0962,27.7676,5.6
201603202250,162.8129,54.294,6.4
201603160349,-71.7314,-31.241,5.3
201603151335,-27.0579,-56.0147,5.2
201603150440,-3.634,35.6879,5.2
201603142325,18.7984,-52.6136,5.6
201603141539,-172.8436,-16.0322,5.1
201603131520,126.262,1.0772,5.3
201603112156,-172.7787,-15.0973,5.3
201603110416,-3.5952,35.6992,5.0
201603101838,149.0602,43.1736,5.0
201603101459,-26.5629,-56.4345,5.0
201603100834,-69.629,-18.8045,5.0
201603091550,-39.6703,-54.6333,5.4
201603091204,144.6665,11.6625,5.1
201603090627,-73.0422,6.8264,5.0
201603081818,165.6209,60.9073,5.2
201603080536,-173.4281,-15.1081,5.9
201603071143,128.3621,2.4129,5.0
201603061319,-162.0099,56.2859,5.0
201603060702,142.9311,28.5881,5.1
201603050033,144.2304,41.6536,5.1
201603042020,94.4205,-4.1881,5.4
201603040425,-178.952,-20.9941,5.3
201603031623,126.0106,3.9982,5.1
201603030010,94.4101,-4.794,5.6
201603020609,112.5355,-8.6191,5.1
201603010926,-178.3856,-32.9373,5.6
201603010108,-88.8191,13.0839,5.1
201602280906,125.3322,5.2757,5.5
201602271820,-178.4195,-17.9958,5.1
201602270241,-32.6719,4.5351,5.4
201602251535,-68.9667,-23.1052,5.2
201602251217,128.5293,-7.5022,5.0
201602230033,95.0448,32.0565,5.1
201602212126,142.4073,24.5533,5.6
201602211810,84.6943,27.9633,5.1
201602210912,70.8607,36.4892,5.2
201602201108,128.1651,-7.4385,5.1
201602191313,142.2432,37.2534,5.1
201602190442,-88.8387,13.8074,5.0
201602182029,60.0573,17.2102,5.0
201602180107,-27.5661,-56.2549,5.6
201602171726,129.0605,0.8597,6.0
201602170744,-177.6664,-30.4791,5.1
201602162348,-125.1659,-55.7841,6.1
201602161907,152.635,-4.6597,5.0
201602161046,-73.6045,-16.4442,5.7
201602151502,-175.4788,-20.9981,6.0
201602141809,138.8823,30.2966,5.7
201602140710,-171.8895,-17.4196,5.3
201602140013,172.7715,-43.4798,5.8
201602131707,-98.709,36.4898,5.1
201602130346,-70.8059,-16.9229,5.0
201602121002,119.4013,-9.6338,6.3
201602111700,-13.7861,-25.7065,5.2
201602101510,-174.7023,-20.229,5.4
201602081619,154.7421,-6.6207,6.4
201602070203,-173.3951,-15.2216,5.8
201602060451,174.9525,-17.2652,5.1
201602042241,122.2589,13.8147,5.2
201602032027,123.5698,-10.0781,5.2
201602031144,153.9455,47.3543,5.0
201602021936,-86.225,16.8595,5.0
201602021419,123.4476,25.5745,5.7
201602020531,142.9463,39.7102,5.3
201602011900,-179.9504,-30.7539,6.2
201601312323,155.1536,-6.9245,5.3
201601311738,169.1485,-63.263,6.1
201601310741,-74.2575,-8.3606,5.0
201601310250,147.1385,-2.8659,5.7
201601301202,146.9814,-3.1401,5.5
201601282003,-143.5954,-56.4578,5.1
201601280346,-28.1224,1.0487,5.0
201601271511,-28.1447,1.0248,5.7
201601250917,128.392,3.2058,5.5
201601241030,-153.3392,59.6204,7.1
201601240034,171.495,-22.8948,5.1
201601220100,-116.1237,-24.4649,5.3
201601202153,146.0168,43.1102,5.1
201601201201,-74.038,-15.8834,5.0
201601192204,127.3403,1.4266,5.0
201601191654,171.4805,-22.9061,5.3
201601181343,-178.7318,-31.3226,5.1
201601180320,-84.6345,17.1333,5.4
201601170830,-76.0967,19.7204,5.2
201601160435,123.5855,-10.0114,5.0
201601112219,179.1198,-23.0754,5.3
201601102207,166.3779,-11.5958,5.0
201601101740,34.3373,39.5649,5.0
201601091412,129.6042,27.9136,5.4
201601081445,-111.7634,-29.0539,5.0
201601080907,70.9688,36.6015,5.0
201601080112,-71.6383,-30.664,5.7
201601072023,155.3193,49.3742,5.2
201601071540,-74.0885,-41.6653,5.0
201601071050,-15.9516,-1.0801,5.1
201601070252,-175.3586,51.775,5.1
201601061318,-95.2403,15.3775,5.3
201601060458,-136.8746,-54.2206,5.3
201601060130,129.0467,41.2996,5.1
201601050934,-136.2603,-54.2906,6.0
201601050528,130.5984,-5.9576,5.2
201601041436,121.0647,19.1416,5.2
201601032305,93.6505,24.8036,6.7
201601020837,70.932,36.5426,5.2
201601020422,129.9406,44.8069,5.8
201601012304,-179.1565,-20.5653,5.0
201601011502,-177.281,-28.6278,5.8
201601010200,139.4489,-50.5575,6.3
201512311056,-86.6205,11.1535,5.8
201512301108,-174.4701,-21.9779,5.0
201512280655,-61.3454,14.6571,5.6
201512271519,-108.8244,-33.0132,5.3
201512262211,126.0264,9.9678,5.2
201512261758,-72.1791,-31.7499,5.0
201512261100,27.3862,35.5164,5.2
201512260443,84.5584,-42.007,5.4
201512250743,167.5545,-15.2792,5.1
201512232228,-173.7342,-17.3364,5.3
201512231008,155.0527,-6.8707,5.0
201512230643,155.6491,49.3128,5.0
201512221305,-176.4206,-28.3167,5.2
201512211544,151.9782,-4.4354,5.7
201512211237,-174.9055,-18.1567,5.0
201512202204,154.6759,-6.2785,5.0
201512201847,117.6359,3.6455,6.1
201512191925,-71.3057,-30.6053,5.8
201512191503,107.0225,-8.3684,5.7
201512181146,-15.8313,-1.3395,5.4
201512171244,120.5815,17.7537,5.3
201512162038,-174.911,-19.5827,5.3
201512151329,167.2863,-15.6232,5.2
201512112205,85.1651,-47.6159,5.0
201512110320,102.966,-4.9619,5.1
201512101855,129.4265,-5.4291,5.0
201512081835,127.5123,0.9884,5.0
201512081256,-71.7519,-30.8096,5.6
201512072253,-90.8905,14.2197,5.7
201512060403,155.0421,-7.2346,5.3
201512052259,85.3132,43.8592,5.0
201512050210,-64.6396,-23.5099,5.3
201512040425,145.748,21.4894,5.4
201512021008,154.6777,-6.2443,5.3
201512012020,155.5596,-6.9809,5.0
201512011708,-176.5573,-14.8839,5.8
201512010613,73.257,41.3752,5.1
201511302019,67.6967,-8.791,5.5
201511301445,-67.1815,-24.3012,5.3
201511272100,-70.6009,-24.828,6.2
201511271546,96.5417,2.8539,5.0
201511270052,-71.0944,-9.2924,5.1
201511261351,179.8426,-17.653,5.1
201511260545,-71.2574,-9.1825,6.7
201511260017,145.1454,-4.7909,5.1
201511251123,125.766,4.2222,5.0
201511250446,140.1479,31.4331,5.0
201511241321,145.2659,18.7787,6.0
201511240914,-72.1266,-31.8014,5.0
201511240246,-175.5726,-24.7604,5.4
201511232041,-98.9116,16.9762,5.6
201511231118,21.789,-53.0308,5.0
201511220811,-96.412,16.8532,5.0
201511212305,-71.7676,-30.5754,5.8
201511211945,-172.6092,-18.1159,5.3
201511210906,129.9375,-7.1484,6.1
201511202325,165.5124,-11.6407,5.1
201511201450,127.4844,0.9969,5.1
201511191815,-175.939,-24.5736,5.1
201511191349,-13.5566,-7.6355,5.2
201511171729,73.2038,40.3762,5.6
201511171251,126.4945,1.525,5.0
201511161104,67.7857,-26.4512,5.0
201511150511,-175.7978,-24.7658,5.0
201511141021,143.8515,37.9417,5.2
201511140525,-34.2684,7.2168,5.3
201511132051,128.8729,31.0009,6.7
201511121728,-175.0682,51.5005,5.2
201511110626,-108.6442,-9.1387,5.6
201511101748,-68.7099,-22.2254,5.3
201511092354,-172.9033,51.4111,5.0
201511082347,-27.3138,-56.0487,5.1
201511070230,137.4409,-3.0708,5.0
201511062014,-95.8796,16.5675,5.0
201511060109,-169.449,52.27,5.3
201511050159,162.4331,56.1986,5.2
201511041347,146.1094,43.3348,5.0
201511032125,124.9069,-8.2825,5.7
201511030110,145.9775,13.4423,5.1
201511012109,121.6561,22.7548,5.5
201511011516,-68.4169,-23.2468,5.8
201510310443,124.0636,-9.0587,5.3
201510300318,-51.3539,-60.9159,5.1
201510290249,178.5251,51.8143,5.3
201510282046,166.3796,-10.9788,5.8
201510260141,178.717,-25.2314,5.0
201510242124,-71.4883,-31.442,5.0
201510241731,-179.3319,-30.2199,5.5
201510232203,138.2666,-2.1661,5.8
201510221747,147.1916,17.9213,5.3
201510220750,74.027,-27.8728,5.0
201510210604,141.0771,37.3186,5.3
201510200036,143.9008,12.8678,5.4
201510190217,122.0479,24.7696,5.3
201510181300,126.4992,2.8811,5.0
201510160638,159.2114,55.5962,5.6
201510151007,-78.7623,-2.5015,5.4
