name,lo,la
62432,101.2522,38.0951
62433,102.8404,37.9982
62434,102.4672,38.009
62435,101.9793,38.2566
62436,101.5895,38.29
62437,101.1182,38.2772
62438,102.6632,38.3184
62439,103.2602,38.3267
62440,102.3763,38.4889
62441,101.6485,38.5389
62442,100.4316,38.5558
62443,100.8448,38.5588
62444,102.9318,38.5568
62445,101.9452,38.6311
62446,99.6153,38.6014
62447,101.2545,38.633
62448,102.636,38.8351
62449,99.354,38.7965
62450,103.5269,38.8191
62451,100.2164,38.8065
62452,102.1564,38.9744
62453,100.7739,38.8961
62454,102.9888,38.9809
62455,99.7875,39.1134
62456,103.8939,39.1552
62457,98.3126,39.0924
62458,100.1347,39.0941
62459,99.2721,39.1082
62460,102.3376,38.9873
62461,98.8191,39.2307
62462,103.4998,39.2054
62463,97.7147,39.277
62464,99.9408,39.3498
62465,99.432,39.3606
62466,100.2985,39.3799
62467,99.0508,39.4648
62468,98.3943,39.5426
62469,99.8205,39.6196
62470,99.4584,39.597
62471,98.012,39.6312
62472,98.8476,39.692
62473,99.2737,39.7352
62474,98.6027,39.9033
63001,100.54,38.0547
63002,100.9575,37.9515
63003,99.5429,38.4584
63004,99.2593,38.3887
63005,99.8436,38.2921
63006,99.2395,38.7302
63007,98.8051,38.9125
63008,98.4147,38.8261
63009,100.5469,37.7397
63010,100.8689,37.6828
63011,101.8032,37.3463
63012,102.1843,37.1984
63013,101.1977,37.6241
63014,100.5324,37.4176
63015,100.2116,37.2972
63016,99.9871,37.6179
63017,99.8026,37.2546
63018,99.4881,37.4341
63019,100.1389,37.9934
63020,99.6332,38.0474
63021,100.9222,36.9199
63022,100.6207,37.1046
63023,101.0022,36.4293
63024,100.5804,36.3952
63025,99.7522,36.7272
63026,99.4205,37.1056
63027,100.8137,36.6009
63028,100.2872,36.588
63029,100.9241,36.1397
63030,101.5087,35.9031
63031,101.5404,36.0768
63032,101.2401,36.2316
63033,101.2335,35.9977
63034,99.1328,37.5183
63035,99.4124,37.748
63036,98.6337,37.6768
63037,98.8271,37.9214
63038,99.1575,38.1675
63039,98.3595,37.9967
63040,98.2831,38.3863
63041,98.7296,38.4165
63042,98.0296,38.7025
63043,97.7237,38.8368
63044,97.181,39.0098
63045,101.3349,37.1129
63046,101.027,37.3325
63047,102.5263,36.8262
63048,102.095,36.5827
63049,102.5114,36.2273
63050,102.8331,36.047
63051,102.71,35.6024
63052,102.3163,35.7433
63053,102.1033,35.909
63054,101.7143,36.2658
63055,102.4238,35.4494
63056,102.2537,35.199
63057,101.8688,35.7672
63058,101.7845,35.2025
63059,101.6665,34.7368
63060,102.1372,34.485
64001,106.0712,35.5337
64002,106.3931,35.6798
64003,106.0845,35.749
64004,105.7979,35.6954
64005,106.6026,35.8479
64006,105.5097,35.857
64007,105.8408,35.8849
64008,106.4226,35.9625
64009,105.507,36.0755
64010,106.2127,36.1815
64011,106.5104,36.1374
64012,105.9895,36.7965
64013,105.9815,36.2804
64014,106.7107,36.0335
64015,105.6144,36.2555
64016,105.9465,36.5225
64017,106.3302,36.5995
64018,105.5868,36.8028
64019,105.942,36.992
64020,106.3501,36.8386
64021,105.546,37.084
64022,106.5809,37.0425
64023,105.9825,37.1899
64024,105.5755,37.2569
64025,106.2462,37.0366
64026,106.666,37.3287
64027,104.9294,37.4399
64028,105.215,36.9141
64029,107.0059,37.1869
64030,105.8177,37.6615
64031,106.4422,37.5573
64032,106.719,37.6579
64033,106.9913,37.453
64034,106.406,37.8543
64035,105.5957,37.5464
64036,106.0632,37.8715
64037,106.7724,37.898
64038,107.177,38.0058
64039,105.9344,38.1105
64040,106.3376,38.1268
64041,104.8684,37.2095
64042,105.9791,38.3102
64043,107.0849,37.7693
64044,106.248,38.5543
64045,106.0137,37.413
64046,106.1598,38.7491
64047,106.3302,38.3738
64048,106.582,38.3893
64049,106.3735,38.8425
64050,106.5214,38.6294
64051,106.877,39.0296
64052,106.1393,39.0682
64053,106.6971,38.8077
64054,106.4814,39.0823
64055,106.3378,39.2471
64056,106.697,38.138
WT001,100.186,42.3441
WT002,98.6446,42.379
WT003,99.2746,42.357
WT004,101.0492,42.3266
WT005,101.8398,42.3291
WT006,99.3226,41.9223
WT007,100.048,41.9292
WT008,100.9269,41.9072
WT009,98.6089,41.9935
WT010,103.0126,41.9285
WT011,101.7455,41.8979
WT012,103.0263,40.1022
WT013,98.1193,42.011
WT014,102.7605,41.678
WT015,98.6585,41.6444
WT016,99.2179,41.5709
WT017,100.0438,41.5564
WT018,102.7414,39.6165
WT019,97.9965,41.6237
WT020,100.9791,41.4958
WT021,101.4542,41.4754
WT022,102.4655,41.3704
WT023,98.1654,41.2474
WT024,98.6007,41.2221
WT025,97.3721,41.2674
WT026,101.5373,40.9977
WT027,99.2943,41.1545
WT028,100.0587,41.185
WT029,97.5111,41.2811
WT030,101.7361,39.4589
WT031,100.961,40.9949
WT032,102.8282,40.7187
WT033,102.3672,39.5408
WT034,99.8746,40.7659
WT035,98.1559,40.831
WT036,99.1726,40.8596
WT037,102.949,39.3028
WT038,97.7412,40.8865
WT039,101.4401,39.1719
WT040,97.3848,40.5603
WT041,98.5946,40.8468
WT042,97.3543,40.8201
WT043,101.5811,38.7999
WT044,98.1887,40.5817
WT045,101.4676,40.6122
WT046,99.4563,40.5411
WT047,101.1719,39.5644
WT048,96.7135,40.6672
WT049,100.9343,40.5499
WT050,98.6769,40.5733
WT051,99.9515,40.1094
WT052,98.0297,39.7212
WT053,97.7696,40.4925
WT054,99.0198,40.5225
WT055,103.0102,40.4649
WT056,100.8645,39.2241
WT057,96.9775,40.4119
WT058,97.6713,40.4088
WT059,102.615,39.2394
WT060,99.4008,40.2286
WT061,98.6623,40.3022
WT062,98.163,40.0587
WT063,100.4869,39.9393
WT064,98.2099,40.3573
WT065,102.1494,39.2529
WT066,97.3187,40.312
WT067,96.6187,39.9733
WT068,100.4827,39.5038
WT069,99.0641,40.266
WT070,100.0964,39.8738
WT071,100.8345,39.717
WT072,97.7434,40.0455
WT073,98.9358,39.9068
WT074,97.3232,39.9263
WT075,96.9877,39.717
WT076,97.7451,39.7465
WT077,97.2809,39.6485
WT078,97.7276,39.5237
WT079,96.8168,40.9789
WT080,96.487,39.8376
